group_term,matched_substrings,explanation,
Breathing problems,"dyspnea, respiratory distress, Abnormal respiratory, Narrow chest, Peripheral pulmonary vessel aplasia, apne, airway, diaphragm",IMPAIRMENT,
Muscle weakness phenotype,"muscle weakness, muscle atrophy, limb atrophy",IMPAIRMENT,
Altered body size,"body weight,growth phenotype,dwarf,dwarv,acromegali,gigantism,growth hormone,pili,IGF,insulin-like growth,insulin like growth,body size,statur, body length, dumpy, body mass, short stature, decreased body size,  decreased body weight, small, dumpy, stunted, tall, increase body size, increase body length, decreased body length, develomental delay",IMPAIRMENT,
Sterility / reproductive potential,"egg, oocyt, natal, steril, inferti, ovari, genital disc, sperm, male genitalia,genital system,Ambiguous genitalia, internal genitalia,external genitalia,genitalia phenotype,mating, genital hypoplasia,Testicular atrophy, Aplasia of the vagina,impotent, fecun, Aplasia of the uterus, Aplasia/hypoplasia of the uterus, Aplasia/Hypoplasia of the fallopian tube, cryptorchid, ovar,testes,testicles,erectil,vulv,penis,female sterile, male sterile, vagina, uteru, gonad,sperm,luteinizin,reproductiv,prostat,genital,germli,prolactin,scrot,ermaphr,corpus cavernosum, umbili, birth, litter size, courtship behavior defective, oogen, brood size, diestrus",IMPAIRMENT,
Cranial deformations,"fontanel, crani, head, skull, Microcephaly, macrocephaly, calvaria",IMPAIRMENT,
Facial deformations,"face, faci, nose, Low-set ear, protruding ear, forehead, External ear malformation, Large fleshy ears, Aplasia/Hypoplasia of the earlobes, Aplasia/Hypoplasia involving the nose, Aplasia/Hypoplasia of the eyebrow, Irregularly spaced teeth, Shallow orbits, Cupped ear, eyebrow, lips, cheek,frontal bossing,microglossia,macroglossia,ankyloglossia",IMPAIRMENT,
Abnormal gait phenotype,"Genu varum, Gait, standing",IMPAIRMENT,
Posture phenotype,postur,IMPAIRMENT,
Connective tissue phenotype,"arthri,arthro,cartilag,joint,tendi,tendo,articul, Elbow flexion contracture, degenerative disc",IMPAIRMENT,
Dampened Intellectual performance,Intellectual disability,IMPAIRMENT,
Thorax-related phenotypes,"Thora, chest",IMPAIRMENT,
Cardiovascular impairments,"cor pulmonale, Cardiovascular impairment, vascu,veno,coronar,stroke,atrio,atria,atriu,aort,venu,ventric,rhythmia",IMPAIRMENT,
Anemia,"Anemia, cyanos",IMPAIRMENT,
Coagulatory phenotype,coagulate,IMPAIRMENT,
Heart function impairment,"Atri, Mitral, arrhythmia, dysrhythmia",IMPAIRMENT,
Adhesion affected ,adhesio,IMPAIRMENT,
"Podalic, digitalis phenotype","hand, fing, toe, feet, foot, dactyly, dactylia, dactylous, digit, wing, talipes equinovarus, clubfoot, unguis",,
Integumentary and thricocutaneus,"nail, hair, Integumentary, Trich, hair,coat,tricho,alopec,bald, vibrissae",,
Kinestetic derived phenotypes,"locomot, roller,limping, stiff leg, grip, flight, crawl, walk, movem, kinesi, lethar, swim",,
Major articulations,"knee, elbow, wrist, shoulder, hip, neck, Trachel, ankle, atlas, occipital",IMPAIRMENT,
Muscle tissue phenotype,"muscl, myo, mya, sarco, muscul, hypoton, nmj, NMJ, quadriceps, triceps, biceps,pectoralis, trapezius, adductor, gluteus maxiumus, gluteus medius, latissimus dorsi, teres minor, teres major",LOCATION-BASED PHENOTYPE,
Nervous and neural tissues affected,"gangl, neuro,nerv,nevr,myelin,paresi,parapl, neura, synaps, action potentia, amphid, dendritic spine",LOCATION-BASED PHENOTYPE,
Spinal chord phenotype,"vertebr,interverte,spine,scolios,scoliot,cifoti, spina,vertebral bodies",,
Poor viability,"lethal, viabil, dierrrrr , death, abnormal(ly) viability whole organism, viability:decreased,abnormal(ly) semi-viable whole organism,abnormal(ly) viable whole organism",,
Connective tissue phenotype,"connective tissue, fibrobla",LOCATION-BASED PHENOTYPE,
Epithelial tissue phenotype,"Epithe, Metothe",LOCATION-BASED PHENOTYPE,
Blood phenotype,"anem,blood,hemoglobi,platelet,erythro,granulocy,ferrit,coagulation,hemat, serum, sero, aemia, emia, Thrombocytopenia, Thrombocytosis, thrombocyte",LOCATION-BASED PHENOTYPE,
Bone phenotype,"osteo, myelo,bony,bone,ossification,osse,epiphy,apophy,diaphy,metaphy,ribs,ribcage, malar, humerus, rib fusion,ossicle",LOCATION-BASED PHENOTYPE,
Urinary system phenotype,"uria, urolithiasis, uret, bladder, urine, urothelium",,
Adipose tissue phenotype,"adip, fat, triglyc",LOCATION-BASED PHENOTYPE,
Mucosa phenotype,"mucos,mucous,mucol",LOCATION-BASED PHENOTYPE,
Adrenal gland phenotype,"adren,epine",LOCATION-BASED PHENOTYPE,
Developmental phenotype,"embryo, larv, patterni, milk, wean, L1, L2, L3, L4, dauer, infancy, infant, puberty, developm, fetal, pupal, fetusrrrrr, fetalrrrrr, Congenital",LOCATION-BASED PHENOTYPE,
Abdominal phenotype,"Abdom, Lapar",LOCATION-BASED PHENOTYPE,
Limbs related phenotype,"Brachi, Arms, leg, shin, wings, fin, limb, tail",LOCATION-BASED PHENOTYPE,
Differentiation phenotype,differentiation,LOCATION-BASED PHENOTYPE,
Cardiovascular phenotype,"arter, heart, cardio, vena, vaso, septal def, cardiac",LOCATION-BASED PHENOTYPE,
Skin phenotype,"skin, derm, swea, kerati, squam, psoria, freckle",LOCATION-BASED PHENOTYPE,
Intestine phenotype,"intestinal,intestine,celiac,coli,enteric,coeli,rectum,foregut, midgut, endgut,gastro,appendicitis,GI-,appendix, Constipation, digest, alimentary, megacolon, size gut, colon length, colon morpho, quality gut, hypoplastic gut",LOCATION-BASED PHENOTYPE,
Stomach and gastric related phenotype,"stomac,bowel,gastri,duode,gallbladder",LOCATION-BASED PHENOTYPE,
Oropharingeal related phenotype,"throat,donti,paroti,saliv,phary,phare,oro,oral cleft,buccal,nasal,phary, molar, toot,teet,olfact,mandib,naso,esoph,denta,oesoph,nostril,trach,teeth,canin,dental,tongue,tonsil,mouth,mastic,naso, dysphagia, feedi, denti",LOCATION-BASED PHENOTYPE,
Eye phenotype,"eye, ocul, ophthalm, opt, lens,retina,optic,blind,vision,iris,yopia,sight,iris,corne,cataract, glaucom, visua, strabismus, nystagmus, cataract, photoreceptor",LOCATION-BASED PHENOTYPE,
Lung and respiratory system,"lung, Pulm, Trache, respi, bronch, pulmon,smok,cough,mucus,phlegm,alveol,respir,ventil,Atelectasis,Bronchiectasis, alveolar",LOCATION-BASED PHENOTYPE,
Bladder phenotype,Bladder,LOCATION-BASED PHENOTYPE,
Kidney phenotype,"kidney, nephro, glomeru, renal,reni",LOCATION-BASED PHENOTYPE,
Liver and gall phenotype,"Liver, gall, jecur,jecinor,hepat",LOCATION-BASED PHENOTYPE,
Stomach phenotype,stomach,LOCATION-BASED PHENOTYPE,
Brain phenotype,"brain, encef,enceph,cereb,synapt,diencephalon",LOCATION-BASED PHENOTYPE,
Thymus phenotype,Thymus,LOCATION-BASED PHENOTYPE,
Thyroid phenotype,"thyro,iodiu,iodin,Hashimoto,TRH ,TRH-,TSH,TSH-,T3 ,T3-,Graves,goitre,goiter",LOCATION-BASED PHENOTYPE,
Pancreas phenotype,pancre,LOCATION-BASED PHENOTYPE,
Spleen phenotype,"spleen, splen",LOCATION-BASED PHENOTYPE,
Glucose metabolism related,"glucos,glyco,glycem, gluca",LOCATION-BASED PHENOTYPE,
Skeletal phenotype,skelet,LOCATION-BASED PHENOTYPE,
Sensory phenotype,"Sensor, taxis, taxes, antenn, taste, hearing, smell, see",LOCATION-BASED PHENOTYPE,
Lymphatic phenotype,Lymph,LOCATION-BASED PHENOTYPE,
Endocrine phenotype,"Endocrin, Hormon, pituitary gland, adrenal glands",LOCATION-BASED PHENOTYPE,
Immune system phenotype,"allerg,immun,lymph,thym,memory B,monocyte,hiv,aids,T cell count,eosinophi,leukoc, infec, antibo, interl, histam, parasit, igm level, interfer, viru, vira, antige,pathoge, circulating IgG,cytokine, T cell differentiation, B cell differentiation, T cell differentiation,T-helper 1 cell differentiation,T-helper 2 cell differentiation, CD4, antibodies, antibody",LOCATION-BASED PHENOTYPE,
Psychological phenotype,"mental,psyc,mania,sleep,somn,mnem,obsess,drinking,anxi,phobia,fear,behavior,behaviour,circadi,addictive ,addiction",LOCATION-BASED PHENOTYPE,
Dysplasia,dysplasia,LOCATION-BASED PHENOTYPE,
Rare disease,"sydrom,rare",LOCATION-BASED PHENOTYPE,
Ligament phenotype,ligament,,
Mitochondria affected,mitochond,,
Lysosomal phenotype,lysos,,
Golgi apparatus affected,golgi,,
Peroxisome phenotype,peroxiso,,
Ribosome phenotype,Ribosom,,
Vacuoles and vesicles,"vacuol, vesicl",,
Endoplasmatic reticulum,endoplasma,,
Cytoskeleton affected,"microtu, actin",,
Diet-related phenotype,"nutrien, diet",,
Genetic information phenotype,"dna, chromosom, polyploi, meios, meiot, mitos, mitot, centrosome, telome, mrna, transcrip, polymeras, nucle, centrio, mutatio, nucl, spindle, haplo, diplo, histon",,
Mental Depression,"depressive, depression, depressivi, apatic, apathy",LOCATION-BASED PHENOTYPE,
Uncharacterized phenotype,Uncharacterized phenotype,,
Hypoplasia phenotype,hypopl,SUBSTRING MATCHING INSPIRED,
Hyperplasia phenotype,hyperpl,,
Morphology altered,"morpho, small, flat, wide, long, thin",,
Shortening phenotype,short,,
Coloration variant,"color, colour, pigme",,
Reflexes and coordination,"reflex, coordin",,
Osmosis variant,osmo,,
Accumulation phenotype,accumul,,
Signaling phenotype,signa,,
Lamina affected,lamin,,
Membrane phenotype,membra,,
Malformation phenotype,malformation,,
Water homeostasis altered,"hydration, water, moist, dry out, dried",,
Hyperactivity phenotype,hyperac,,
Hypoactivity phenotype,hypoac,,
Activity variant,activity,,
Expression variant,expressi,,
Motor phenotype,motor,,
Phosphorylation altered,phosphory,,
Interaction with chemicals phenotype,"chemica, compound",,
Temperature phenotype,"heat, therm",,
Growth phenotype,growth,,
Sex-specific phenotype,"male, female, hermaphr",,
General metabolism phenotype,metab,,
Anabolic phenotype,anabo,,
Metal ion homeostasis phenotype,"iron level, magnes, calciu",,
Vitamin phenotype,vitami,,
Oxygen and nitrogen metabolism,"oxyg, nitr",,
PH-phenotype,"acid, alkal",,
Localization variant,"localizat, localis",,
Circulating and secreted agents phenotype,"circu, secre",,
Drosophila-specific phenotype,drosoph,,
C. elegans-specific phenotype,elegans,,
Turn-over variant,"degener, synthe, maintenanc, homeosta, autopha, mitopha",,
Transgene variant,transgene,,
Enzyme activity,enzym,,
Size variant,size,,
Polarity variant,polar,,
Sensitive variant,sensitiv,,
Cellular level phenotype,"Cyt, cell",,
Tissue level phenotype,"Hist, tissue",,
Embolus and / or thrombus,"embol, thromb",,
