division,category,Gene Symbol,Gene Name,Synonyms,MGI_IDs,MGI_IDs Links,UniProt_IDs,Refseq_IDs,Notes
Core matrisome,ECM Glycoproteins,Comp,cartilage oligomeric matrix protein,TSP5,MGI:88469,MGI:88469,A1A557:A2VCQ0:Q9R0G6,NP_057894.2,
Core matrisome,ECM Glycoproteins,Creld1,cysteine-rich with EGF-like domains 1,AI843811,MGI:2152539,MGI:2152539,A8C1T7:Q91XD7,NP_598691.1:NP_598691.1,
Core matrisome,ECM Glycoproteins,Creld2,cysteine-rich with EGF-like domains 2,5730592L21Rik|C85758,MGI:1923987,MGI:1923987,Q9CYA0,NP_083996.1,
Core matrisome,ECM Glycoproteins,Crim1,cysteine rich transmembrane BMP regulator 1 (chordin like),AU015004,MGI:1354756,MGI:1354756,Q3TWP4:Q8BS96:Q9JLL0,NP_056615.1,
Core matrisome,ECM Glycoproteins,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,Cocoacrisp|Lcrisp1,MGI:1934666,MGI:1934666,E0CYY0:Q8CGD2,NP_113579.2:XP_006495655.1:XP_006495656.1,
Core matrisome,ECM Glycoproteins,Crispld2,cysteine-rich secretory protein LCCL domain containing 2,1810049K24Rik|Lcrisp2|Lgl1|MGC116029|coffeecrisp,MGI:1926142,MGI:1926142,Q8BZQ2,NP_084485.1:XP_006531570.1:XP_006531571.1:XP_006531572.1,
Core matrisome,ECM Glycoproteins,Ctgf,connective tissue growth factor,Ccn2|Fisp12|Hcs24|fisp-12,MGI:95537,MGI:95537,H3BJW0:H3BK14:P29268,NP_034347.2,CCN Family
Core matrisome,ECM Glycoproteins,Cthrc1,collagen triple helix repeat containing 1,1110014B07Rik,MGI:1915838,MGI:1915838,A2RRY6:B7ZMQ8:Q9D1D6,NP_081054.1,
Core matrisome,ECM Glycoproteins,Cyr61,cysteine rich protein 61,AI325051|CCN1|Igfbp10,MGI:88613,MGI:88613,P18406:Q3TX21,NP_034646.1:NP_034646.1,CCN Family
Core matrisome,ECM Glycoproteins,Ddx26b,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B,4930535D10Rik|6330505F04Rik|D130066O12,MGI:2442593,MGI:2442593,E9PXU1:F6RIR5:F6WNG1:Q8BND4:Q8CCX8:Q8VE44,NP_766367.1,
Core matrisome,ECM Glycoproteins,Dmbt1,deleted in malignant brain tumors 1,CRP|CRP-[a]|CRP-[b]|Crpd|DBMT1|gp300,MGI:106210,MGI:106210,B6V683:E9QPG8:Q60997,NP_031795.2,
Core matrisome,ECM Glycoproteins,Dmp1,dentin matrix protein 1,AV020965|Dmp|MGC130441|PP,MGI:94910,MGI:94910,O55188:Q2HJ09,NP_058059.2:XP_006534829.1,
Core matrisome,ECM Glycoproteins,Dpt,dermatopontin,1810032B19Rik|5033416F05Rik|EQ-1|Eq1,MGI:1928392,MGI:1928392,Q9QZZ6,NP_062733.1,
Core matrisome,ECM Glycoproteins,Dspp,dentin sialophosphoprotein,Dmp2|Dmp3|Dpp|Dsp|MGC124498,MGI:109172,MGI:109172,A1L2Z1:E9Q9Z9:P97399:Q1JQ89,NP_034210.2,
Core matrisome,ECM Glycoproteins,Ecm1,extracellular matrix protein 1,AI663821|p85,MGI:103060,MGI:103060,B7ZNR0:D3YV22:D3YV64:D3YZV0:D3Z038:D3Z0U9:D3Z772:F8WI14:Q3TDX7:Q3TXB7:Q61508,NP_001239582.1:NP_001239582.1:NP_031925.2:NP_031925.2,
Core matrisome,ECM Glycoproteins,Ecm2,"extracellular matrix protein 2, female organ and adipocyte specific",9030618O22Rik|BC065151|MGC107322|tenonectin,MGI:3039578,MGI:3039578,Q5FW85:Q9D314,NP_001012324.1,
Core matrisome,ECM Glycoproteins,Edil3,EGF-like repeats and discoidin I-like domains 3,Del-1|Del1,MGI:1329025,MGI:1329025,O35474:Q8C4U8:Q8C8K0,NP_001033076.1:NP_034233.1:NP_034233.1:NP_001033076.1:NP_034233.1,
Core matrisome,ECM Glycoproteins,Efemp1,epidermal growth factor-containing fibulin-like extracellular matrix protein 1,MGC37612,MGI:1339998,MGI:1339998,F6ZFS0:Q3TRR8:Q8BPB5:Q8K0J4:Q8R1U8,NP_666127.2:XP_006514723.1,Fibulin
Core matrisome,ECM Glycoproteins,Efemp2,epidermal growth factor-containing fibulin-like extracellular matrix protein 2,0610011K11Rik|MBP1,MGI:1891209,MGI:1891209,E9PYW6:E9Q1U0:E9Q2A0:E9Q2T8:E9Q3F3:E9Q3N9:E9Q8E0:F6R0V7:F6Z1C2:F7AYH6:G5E8D6:Q542X5:Q9JM06:Q9WVJ9,NP_001157824.1:NP_001157824.1:NP_067449.3:XP_006531871.1:NP_067449.3:XP_006531871.1,Fibulin
Core matrisome,ECM Glycoproteins,Egfem1,RIKEN cDNA 6130401L20 gene,6130401L20Rik,MGI:1922990,MGI:1922990,B7ZCE7:B7ZCE9:D3YVN3:D3YYS1:F6ZMV2:Q8C088:Q9CXD8,NP_083688.1:NP_001161220.1:NP_083688.1:NP_083688.1,
Core matrisome,ECM Glycoproteins,Egflam,"EGF-like, fibronectin type III and laminin G domains",5930412K08|AU040377,MGI:2146149,MGI:2146149,E0CXM4:Q4VBE4,NP_001276425.1:NP_848863.1:XP_006520053.1,
Core matrisome,ECM Glycoproteins,Eln,elastin,AI385707|AI480567|E030024M20Rik,MGI:95317,MGI:95317,P54320,NP_031951.2,
Core matrisome,ECM Glycoproteins,Emid1,EMI domain containing 1,AW122071|CO-5|Emu1,MGI:2155091,MGI:2155091,E0CY77:F6U7K9:F6YMU2:F7BCQ7:Q5SUT2:Q8VDH3:Q91VF5,NP_542162.1:NP_542162.1,
Core matrisome,ECM Glycoproteins,Emilin1,elastin microfibril interfacer 1,5830419M17Rik|AW229038|BB105748|EMILIN-1|gp115,MGI:1926189,MGI:1926189,Q3U254:Q3USG5:Q3UUU0:Q99K41,NP_598679.1,
Core matrisome,ECM Glycoproteins,Emilin2,elastin microfibril interfacer 2,FOAP-10,MGI:2389136,MGI:2389136,D0ESZ4:Q3TBC8:Q3TBD3:Q3TCC1:Q3TDB5:Q3TDP9:Q3U1J9:Q8K482,XP_006524348.1:NP_660140.1:NP_660140.1,
Core matrisome,ECM Glycoproteins,Emilin3,elastin microfibril interfacer 3,1110013O17Rik|EMILIN-T|Emilin5,MGI:2389142,MGI:2389142,A2A4B4:P59900,NP_001278074.1:NP_001278074.1:NP_878260.1,
Core matrisome,ECM Glycoproteins,Fbln1,fibulin 1,-,MGI:95487,MGI:95487,B2CQD6:Q08879:Q3TW70:Q3TWK8,NP_034310.2:NP_034310.2:XP_006520500.1:NP_034310.2,Fibulin
Core matrisome,ECM Glycoproteins,Fbln2,fibulin 2,5730577E14Rik,MGI:95488,MGI:95488,D3Z5B0:D3Z5S2:P37889:Q3TGL4:Q99K58,NP_032018.2:XP_006505593.1:NP_001074906.1,Fibulin
Core matrisome,ECM Glycoproteins,Fbln5,fibulin 5,A55|DANCE|EVEC,MGI:1346091,MGI:1346091,Q9WVH9,NP_035942.1,Fibulin
Core matrisome,ECM Glycoproteins,Fbln7,fibulin 7,1600015H20Rik|AI464334|TM14,MGI:1917620,MGI:1917620,Q501P1:Q80WW7:Q99LM8,NP_077199.2,Fibulin
Core matrisome,ECM Glycoproteins,Fbn1,fibrillin 1,AI536462|B430209H23|Fib-1|Tsk,MGI:95489,MGI:95489,A2AQ53:O88840:Q3TNW1:Q3TRZ5:Q60784:Q61554:Q7TMG6:Q99L19,NP_032019.2:XP_006498810.1,
Core matrisome,ECM Glycoproteins,Fbn2,fibrillin 2,BC063774|Fib-2|KIAA4226|mKIAA4226|sne|sy,MGI:95490,MGI:95490,Q571J3:Q60789:Q61555,NP_034311.2:XP_006544558.1,
Core matrisome,ECM Glycoproteins,Fga,fibrinogen alpha chain,ENSMUSG00000059807|Fib,MGI:1316726,MGI:1316726,E9PV24:Q99K47,NP_001104518.1:NP_034326.1,Hemostasis
Core matrisome,ECM Glycoproteins,Fgb,fibrinogen beta chain,2510049G14Rik,MGI:99501,MGI:99501,Q3TGR2:Q8K0E8,NP_862897.1:NP_862897.1,Hemostasis
Core matrisome,ECM Glycoproteins,Fgg,fibrinogen gamma chain,3010002H13Rik|AI256424,MGI:95526,MGI:95526,Q3UEM7:Q3UER8:Q8VCM7,NP_598623.1:XP_006502484.1:NP_598623.1,Hemostasis
Core matrisome,ECM Glycoproteins,Fgl1,fibrinogen-like protein 1,MGC37822|Mfire1,MGI:102795,MGI:102795,Q0P684:Q71KU9:Q8BUL3,NP_663569.2,
Core matrisome,ECM Glycoproteins,Fgl2,fibrinogen-like protein 2,AI385601|musfiblp,MGI:103266,MGI:103266,P12804:Q544K3,NP_032039.2:NP_032039.2,
Core matrisome,ECM Glycoproteins,Fn1,fibronectin 1,E330027I09|Fn|Fn-1|MGC117493,MGI:95566,MGI:95566,B7ZNJ1:B9EHT6:P11276:Q3TBB4:Q3TCF1:Q3TCL7:Q3UGY5:Q3UH17:Q3UHL6:Q3UHR1:Q3UZF9:Q4KL80:Q8R3F3:Q99KD0,NP_001263342.1:NP_001263340.1:NP_034363.1:NP_001263339.1:NP_001263342.1:NP_001263337.1:NP_001263341.1:NP_001263338.1:NP_001263339.1:NP_001263341.1:NP_001263337.1:NP_034363.1,
Core matrisome,ECM Glycoproteins,Fndc1,fibronectin type III domain containing 1,1110027O12Rik|1110051A18Rik|KIAA1866|mKIAA1866,MGI:1915905,MGI:1915905,E9PXG4:E9Q043:E9Q8V0:Q5DTU3:Q9CTD1,NP_001074885.1,
Core matrisome,ECM Glycoproteins,Fndc7,fibronectin type III domain containing 7,E230011A21Rik|MGC132926,MGI:2443535,MGI:2443535,A2AED3:F7A5B5:J3QMB8:Z4YMD2,NP_001159437.1:NP_796065.2,
Core matrisome,ECM Glycoproteins,Fndc8,fibronectin type III domain containing 8,4930466G16Rik,MGI:1926169,MGI:1926169,B2RQ03:Q9D2H8,NP_084500.1:NP_084500.1,
Core matrisome,ECM Glycoproteins,Fras1,Fraser syndrome 1 homolog (human),E130113P14Rik|bl|mKIAA1500,MGI:2385368,MGI:2385368,Q80T14:Q8BPP7,NP_780682.3,
Core matrisome,ECM Glycoproteins,Gas6,growth arrest specific 6,Gas-6,MGI:95660,MGI:95660,Q61592,NP_062394.2,
Core matrisome,ECM Glycoproteins,Gldn,gliomedin,CRG-L2|Clom|Colm|Crgl2|Crlg2,MGI:2388361,MGI:2388361,Q08AT9:Q8BMF8,NP_796324.1,
Core matrisome,ECM Glycoproteins,Hmcn1,hemicentin 1,EG545370|Gm201,MGI:2685047,MGI:2685047,D3YXG0:D3Z2Q7:H3BJH2:Q8C716,NP_001019891.2,Fibulin
Core matrisome,ECM Glycoproteins,Hmcn2,hemicentin 2,D030068H01|MGC31312|MGC49669,MGI:2677838,MGI:2677838,A2AJ76:F6VSY0,XP_006498568.1  ,
Core matrisome,ECM Glycoproteins,Ibsp,integrin binding sialoprotein,BSP|Bsp2,MGI:96389,MGI:96389,Q3TRM5:Q61711,NP_032344.2,
Core matrisome,ECM Glycoproteins,Igfals,"insulin-like growth factor binding protein, acid labile subunit",ALS|Albs|KIAA4111|MGC150140|MGC150141|mKIAA4111,MGI:107973,MGI:107973,P70389:Q3KQP3:Q570Z9:Q791Q5,NP_032366.2,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbp1,insulin-like growth factor binding protein 1,-,MGI:96436,MGI:96436,P47876:Q91WV8,NP_032367.3,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbp2,insulin-like growth factor binding protein 2,AI255832|Igfbp-2,MGI:96437,MGI:96437,D3YU40:P47877:Q9D057,XP_006495770.1:NP_032368.2,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbp3,insulin-like growth factor binding protein 3,AI649005|IGFBP-3|IGgfbp3,MGI:96438,MGI:96438,P47878:Q3UR87:Q8BP94,NP_032369.2:NP_032369.2,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbp4,insulin-like growth factor binding protein 4,AI875747|Deb2|IGFBP-4,MGI:96439,MGI:96439,H3BJT2:H3BLB7:P47879:Q8BSM9,NP_034647.1,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbp5,insulin-like growth factor binding protein 5,AI256729|AW208790|IGFBP-5|IGFBP-5P,MGI:96440,MGI:96440,Q07079:Q3TT49:Q3UQV0:Q99KY8,NP_034648.2:NP_034648.2,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbp6,insulin-like growth factor binding protein 6,IGFBP-6,MGI:96441,MGI:96441,P47880,NP_032370.2,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbp7,insulin-like growth factor binding protein 7,Fstl2|Mac25,MGI:1352480,MGI:1352480,A0A5E1:E9Q5D9:F8WH23:Q3U131:Q3UFA6:Q61581:Q811C8,NP_001152990.1:NP_032074.3:NP_032074.3,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igfbpl1,insulin-like growth factor binding protein-like 1,2810011G06Rik|2810453O06Rik|IGFBPL,MGI:1933198,MGI:1933198,Q80W15,NP_061211.1,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Igsf10,"immunoglobulin superfamily, member 10",6530405F15Rik|9030224D03|AA409708|AA536958|AI41462,MGI:1923481,MGI:1923481,Q3V1M1,NP_001156356.1:XP_006501528.1:XP_006501529.1:XP_006501530.1,
Core matrisome,ECM Glycoproteins,Kcp,kielin/chordin-like protein,AW060220|Crim2|Gm793,MGI:2141640,MGI:2141640,E0CYL0:E9QNB3:F6UH68:F7B5X1:F7DED4:F7DEV6:Q3U492:Q6PB40,NP_001025156.3,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Lama1,"laminin, alpha 1",AA408497|Lama,MGI:99892,MGI:99892,F8VQ40:P19137,NP_032506.2:NP_032506.2,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lama2,"laminin, alpha 2",5830440B04|KIAA4087|dy|mKIAA4087|mer|merosin,MGI:99912,MGI:99912,Q5DTP0:Q60675:Q7TQI9:Q8C9J2:Q8R145,NP_032507.2:NP_032507.2,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lama3,"laminin, alpha 3",Lama3B|[a]3B,MGI:99909,MGI:99909,Q3UU65:Q61789,NP_034810.1:XP_006525753.1,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lama4,"laminin, alpha 4",MGC141567,MGI:109321,MGI:109321,P97927:Q3ULY0:Q6PHW3:Q8BSJ0:Q91VV0:Q91YG8,NP_034811.2,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lama5,"laminin, alpha 5",AA408760|AA408762|AI853660|[a]5|laminin-511|mKIAA0,MGI:105382,MGI:105382,Q3TZ05:Q61001:Q80VE8:Q8R3Y7,NP_001074640.1:NP_001074640.1,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lamb1,laminin B1 subunit 1,C77966|C80098|C81607|D130003D08Rik|Lamb-1|Lamb1-1,MGI:96743,MGI:96743,B9EKB0:E9PYT5:E9Q339:E9QN70:P02469:Q0V927:Q3TNZ8:Q3UHL7:Q3UR38:Q8K271:Q9CRX6,NP_032508.2:XP_006515056.1:NP_032508.2,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lamb2,"laminin, beta 2",AW211941|Lamb-2|Lams,MGI:99916,MGI:99916,Q3USI2:Q61292,NP_032509.2:NP_032509.2:XP_006511711.1,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lamb3,"laminin, beta 3",-,MGI:99915,MGI:99915,Q61087:Q61964:Q8C5B3,NP_001264857.1:NP_032510.2:XP_006497295.1:XP_006497296.1:NP_032510.2,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lamc1,"laminin, gamma 1",Lamb2,MGI:99914,MGI:99914,F6SFQ3:F6TLW1:F8VQJ3:P02468:Q3TRH4:Q3UFZ9:Q3UNG0:Q3URV4:Q6PHM1,NP_034813.2,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lamc2,"laminin, gamma 2",AA589349,MGI:99913,MGI:99913,G5E874:Q3UI29:Q61092:Q61965:Q9R086,NP_032511.3,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lamc3,laminin gamma 3,AI562206|AW240805,MGI:1344394,MGI:1344394,A2ATM9:Q99K04:Q9R0B6,NP_035966.2,"Laminin, Basement Membrane "
Core matrisome,ECM Glycoproteins,Lgi1,"leucine-rich repeat LGI family, member 1",BB130740,MGI:1861691,MGI:1861691,D3YW56:Q9JIA1,NP_064674.1,
Core matrisome,ECM Glycoproteins,Lgi2,"leucine-rich repeat LGI family, member 2",mKIAA1916,MGI:2180196,MGI:2180196,Q50DZ7:Q8BYS1:Q8K4Z0,XP_006504027.1:NP_659194.1,
Core matrisome,ECM Glycoproteins,Lgi3,"leucine-rich repeat LGI family, member 3",AI841179|AW049851,MGI:2182619,MGI:2182619,Q3V1R3:Q8K406,NP_660254.1:NP_660254.1,
Core matrisome,ECM Glycoproteins,Lgi4,"leucine-rich repeat LGI family, member 4",Lgil3|MGC107385|clp,MGI:2180197,MGI:2180197,F7CXY1:Q3UYI9:Q4KMN2:Q8K1S1,NP_653139.2,
Core matrisome,ECM Glycoproteins,Lrg1,leucine-rich alpha-2-glycoprotein 1,1300008B03Rik|2310031E04Rik|Lrg|Lrhg|MGC102387,MGI:1924155,MGI:1924155,Q91XL1,NP_084072.1,
Core matrisome,ECM Glycoproteins,Ltbp1,latent transforming growth factor beta binding protein 1,9430031G15Rik|9830146M04|Ltbp-1|Tgfb,MGI:109151,MGI:109151,B1B1E2:Q8C6S0:Q8CG19:Q99PJ3,NP_064303.2:NP_996841.1:XP_006524418.1,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Ltbp2,latent transforming growth factor beta binding protein 2,AW208642|MGC144212,MGI:99502,MGI:99502,E9Q1D6:E9QNQ3:F6UFW9:F6WSP3:F6XGT5:O08999:Q0VD84,NP_038617.3:NP_038617.3,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Ltbp3,latent transforming growth factor beta binding protein 3,Ltbp2|mFLJ00070,MGI:1101355,MGI:1101355,F8VQ06:Q61810:Q9CVK2,NP_032546.2:NP_032546.2,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Ltbp4,latent transforming growth factor beta binding protein 4,2310046A13Rik|MGC175966,MGI:1321395,MGI:1321395,B2RU79:D3Z598:E9Q6B8:E9QPS5:F6W6Z0:Q3UGU1:Q8BXY5:Q8K4G1,NP_001107021.1:NP_783572.2,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Matn1,"matrilin 1, cartilage matrix protein",CMP|Crtm|Mat1|matrilin-1,MGI:106591,MGI:106591,P51942,NP_034899.2,
Core matrisome,ECM Glycoproteins,Matn2,matrilin 2,Crtm2|MGC102477|matrilin-2,MGI:109613,MGI:109613,O08746:Q3TQ80:Q569V0:Q8C435:Q99K64,XP_006520086.1:NP_058042.2,
Core matrisome,ECM Glycoproteins,Matn3,matrilin 3,AV009181,MGI:1328350,MGI:1328350,O35701:Q6IR12,NP_034900.4,
Core matrisome,ECM Glycoproteins,Matn4,matrilin 4,matrilin-4,MGI:1328314,MGI:1328314,F2Z3U4:F2Z468:F2Z469:O89029,NP_001239492.1:NP_038620.2:NP_001239492.1,
Core matrisome,ECM Glycoproteins,Mepe,matrix extracellular phosphoglycoprotein with ASARM motif (bone),Of45,MGI:2137384,MGI:2137384,Q3TYV1:Q3TYZ5:Q8K4L6:Q924I1,NP_444402.2,
Core matrisome,ECM Glycoproteins,Mfap1a,microfibrillar-associated protein 1A,4432409M24Rik|Mfap1,MGI:1914782,MGI:1914782,Q9CQU1,NP_001075444.1:NP_080496.1,
Core matrisome,ECM Glycoproteins,Mfap1b,microfibrillar-associated protein 1B,-,MGI:3694697,MGI:3694697,Q9CQU1,NP_001075444.1,
Core matrisome,ECM Glycoproteins,Mfap2,microfibrillar-associated protein 2,AI893631|Magp|Magp1,MGI:99559,MGI:99559,P55002:Q99PM0,NP_001155271.1:NP_032572.2,
Core matrisome,ECM Glycoproteins,Mfap3,microfibrillar-associated protein 3,2610509F16Rik|2700079M14Rik|AW536327,MGI:1924068,MGI:1924068,D3Z5B4:Q3U2S9:Q922T2,NP_663401.2:NP_850930.1:XP_006532913.1,
Core matrisome,ECM Glycoproteins,Mfap4,microfibrillar-associated protein 4,1110007F23Rik,MGI:1342276,MGI:1342276,Q9D1H9,NP_083844.1:XP_006534485.1,
Core matrisome,ECM Glycoproteins,Mfap5,microfibrillar associated protein 5,MAGP-2,MGI:1354387,MGI:1354387,D3YW93:D3Z0U1:D3Z3L7:D3Z4D7:F8WJ99:Q9QZJ6,XP_006506427.1:NP_056591.1,
Core matrisome,ECM Glycoproteins,Mfge8,milk fat globule-EGF factor 8 protein,AA408458|AI325141|MFG-E8|Mfgm|P47|SED1|lactadherin,MGI:102768,MGI:102768,P21956:Q3TDU5,NP_032620.2:NP_001038954.1,
Core matrisome,ECM Glycoproteins,Mgp,matrix Gla protein,Mglap,MGI:96976,MGI:96976,P19788:Q3TVX6:Q6NSS4:Q8VEK8,NP_032623.1,
Core matrisome,ECM Glycoproteins,Mmrn1,multimerin 1,4921530G03Rik|Emilin4|Mmrn,MGI:1918195,MGI:1918195,B2RPV6:B7ZMT5:G3UVV6,NP_001156979.1:NP_081889.1:NP_081889.1,
Core matrisome,ECM Glycoproteins,Mmrn2,multimerin 2,AA986839|ENDOGLYX1|Emilin3|EndoGlyx-1|MGC41271,MGI:2385618,MGI:2385618,A6H6E2,NP_694767.3,
Core matrisome,ECM Glycoproteins,Ndnf,RIKEN cDNA A930038C07 gene,epidermacan|A930038C07Rik,MGI:1915419,MGI:1915419,Q8C119,NP_765987.2:XP_006506591.1,
Core matrisome,ECM Glycoproteins,Nell1,NEL-like 1 (chicken),B230343H07Rik|l7R6,MGI:2443902,MGI:2443902,D3YV40:D3YWD8:Q2VWQ2,NP_001032995.1,
Core matrisome,ECM Glycoproteins,Nell2,NEL-like 2 (chicken),A330108N19Rik|R75516|mel91,MGI:1858510,MGI:1858510,Q61220:Q8BM06:Q8BM43,NP_001276582.1:XP_006521226.1,
Core matrisome,ECM Glycoproteins,Nid1,nidogen 1,A630025O17|Nid|entactin|entactin-1|nidogen-1,MGI:97342,MGI:97342,P10493,NP_035047.2,Basement Membrane 
Core matrisome,ECM Glycoproteins,Nid2,nidogen 2,AW547149|Ly111|NID-2|entactin-2|nidogen-2,MGI:1298229,MGI:1298229,O88322:Q3TPN0:Q3US45:Q3V4C0:Q8C6Z2:Q8R5G0,NP_032721.2:NP_032721.2:NP_032721.2:NP_032721.2,Basement Membrane 
Core matrisome,ECM Glycoproteins,Nov,nephroblastoma overexpressed gene,C130088N23Rik|CCN3,MGI:109185,MGI:109185,Q3U2X7:Q64299,NP_035060.1,
Core matrisome,ECM Glycoproteins,Npnt,nephronectin,1110009H02Rik|AA682063|AI314031|Nctn|POEM,MGI:2148811,MGI:2148811,D3YTX1:D3Z4D3:Q3TYB4:Q91V88,NP_001274032.1:NP_001274032.1:NP_001025007.1:NP_001274030.1:NP_001274031.1:NP_277060.2,
Core matrisome,ECM Glycoproteins,Ntn1,netrin 1,AI561871|BC019633|Netrin-1,MGI:105088,MGI:105088,B0QZL0:O09118,NP_032770.2,
