division,category,Gene Symbol,Gene Name,geneid,Ensembl IDs,UniProt IDs,Human Orthologue,Mouse Orthologue,Dr Matrisome,combined_orthology
Core matrisome,ECM Glycoproteins,creld1,cysteine-rich with EGF-like domains 1,ZDB-GENE-120111-4,ENSDARG00000099989,A0A0R4IS78,CRELD1,Creld1,Yes,CRELD1
Core matrisome,ECM Glycoproteins,creld2,cysteine-rich with EGF-like domains 2,ZDB-GENE-040426-1626,ENSDARG00000029071,Q7SXF6:A0A0B5JS55,CRELD2,Creld2,Yes,CRELD2
Core matrisome,ECM Glycoproteins,crim1,cysteine rich transmembrane BMP regulator 1 (chordin-like),ZDB-GENE-040312-2,ENSDARG00000029668,Q7T3Q2:B3DH05,CRIM1,Crim1,Yes,CRIM1
Core matrisome,ECM Glycoproteins,crispld1a,cysteine-rich secretory protein LCCL domain containing 1a,ZDB-GENE-090612-1,ENSDARG00000077275,E9QBN8:F1QHW4,CRISPLD1,Crispld1,Yes,CRISPLD1
Core matrisome,ECM Glycoproteins,crispld2,cysteine-rich secretory protein LCCL domain containing 2,ZDB-GENE-130131-1,ENSDARG00000088595,F1QW68,CRISPLD2,Crispld2,Yes,CRISPLD2
Core matrisome,ECM Glycoproteins,ctgfa,connective tissue growth factor a,ZDB-GENE-030131-102,ENSDARG00000042934,Q3B7E1:Q6T8L8:Q567D8:Q5RI33,CTGF,Ctgf,Yes,CTGF
Core matrisome,ECM Glycoproteins,ctgfb,connective tissue growth factor b,ZDB-GENE-070705-82,ENSDARG00000104292,A5PN60:A0A0R4IUX4:A6XA79,CTGF,Ctgf,Yes,CTGF
Core matrisome,ECM Glycoproteins,cthrc1a,collagen triple helix repeat containing 1a,ZDB-GENE-040808-22,ENSDARG00000087198,F1Q7G0:Q6AXL0,CTHRC1,Cthrc1,Yes,CTHRC1
Core matrisome,ECM Glycoproteins,cthrc1b,collagen triple helix repeat containing 1b,ZDB-GENE-050420-46,ENSDARG00000001971,F6P0H3,CTHRC1,Cthrc1,Yes,CTHRC1
Core matrisome,ECM Glycoproteins,cyr61,"cysteine-rich, angiogenic inducer, 61",ZDB-GENE-040426-3,ENSDARG00000023062,Q6NWA0:Q6PFL2:F1QL10,CYR61,Cyr61,Yes,CYR61
Core matrisome,ECM Glycoproteins,cyr61l1,"cysteine-rich, angiogenic inducer, 61 kile 1",ZDB-GENE-050417-136,ENSDARG00000035422 ,Q567G9:D0E2V8:A2CF35,CYR61,Cyr61,Yes,CYR61
Core matrisome,ECM Glycoproteins,cyr61l2,"cysteine-rich, angiogenic inducer, 61 like 2",ZDB-GENE-060404-5,ENSDARG00000099985,D0E2W3:A0A0R4IXA2:A2RRU7:Q5U3J9,CYR61,Cyr61,Yes,CYR61
Core matrisome,ECM Glycoproteins,ddx26b,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B,ZDB-GENE-040426-1150,ENSDARG00000017931,F1QWA1:Q7SYD9:E9QFC2,DDX26B,Ddx26b,Yes,DDX26B
Core matrisome,ECM Glycoproteins,dpt,dermatopontin,ZDB-GENE-060312-9,ENSDARG00000056178,Q5PNP9:Q29RF0,DPT,Dpt,Yes,DPT
Core matrisome,ECM Glycoproteins,ecm1a,extracellular matrix protein 1a,ZDB-GENE-121204-1,ENSDARG00000100535,A0A0R4IMZ6,ECM1,Ecm1,Yes,ECM1
Core matrisome,ECM Glycoproteins,ecm1b,extracellular matrix protein 1b,ZDB-GENE-121204-2,ENSDARG00000105239,A0A0R4IIK5,ECM1,Ecm1,Yes,ECM1
Core matrisome,ECM Glycoproteins,ecm2,"extracellular matrix protein 2, female organ and adipocyte specific",ZDB-GENE-050208-651,ENSDARG00000071549,F1R2S9,ECM2,Ecm2,Yes,ECM2
Core matrisome,ECM Glycoproteins,edil3a,EGF-like repeats and discoidin I-like domains 3a,ZDB-GENE-060503-366,ENSDARG00000093413,A0A0R4IMA9:F1QBK2,EDIL3,Edil3,Yes,EDIL3
Core matrisome,ECM Glycoproteins,edil3b,EGF-like repeats and discoidin I-like domains 3b,ZDB-GENE-090312-42,ENSDARG00000060877,F1Q6J1:F1QJV0,EDIL3,Edil3,Yes,EDIL3
Core matrisome,ECM Glycoproteins,efemp1,EGF containing fibulin-like extracellular matrix protein 1,ZDB-GENE-130403-1,ENSDARG00000059121,E7FDJ3:A0A0R4IL08,EFEMP1,Efemp1,Yes,EFEMP1
Core matrisome,ECM Glycoproteins,efemp2a,EGF containing fibulin-like extracellular matrix protein 2a,ZDB-GENE-041212-8,ENSDARG00000094324,A2CEN1:Q5PR37,EFEMP2,Efemp2,Yes,EFEMP2
Core matrisome,ECM Glycoproteins,efemp2b,EGF containing fibulin-like extracellular matrix protein 2b,ZDB-GENE-030219-125,ENSDARG00000020811,Q5WQV6:E9QG60,EFEMP2,Efemp2,Yes,EFEMP2
Core matrisome,ECM Glycoproteins,egflam,"EGF-like, fibronectin type III and laminin G domains",ZDB-GENE-070705-525,ENSDARG00000099008,A0A0G2KJI7,EGFLAM,Egflam,Yes,EGFLAM
Core matrisome,ECM Glycoproteins,elna,elastin a,ZDB-GENE-061212-1,ENSDARG00000099634,A0A0R4IWM2:Q0Q5Z1,ELN,Eln,Yes,ELN
Core matrisome,ECM Glycoproteins,elnb,elastin b,ZDB-GENE-061212-2,ENSDARG00000069017,A0A0R4IPZ1:F8W4J7:F8W3Q9:Q0Q5Z0,ELN,Eln,Yes,ELN
Core matrisome,ECM Glycoproteins,emid1,EMI domain containing 1,ZDB-GENE-070705-40,ENSDARG00000076119,F1QR06,EMID1,Emid1,Yes,EMID1
Core matrisome,ECM Glycoproteins,emilin1a,elastin microfibril interfacer 1a,ZDB-GENE-041001-191,ENSDARG00000024537,A9JSV2:Q5TZ63:F1QC17,EMILIN1,Emilin1,Yes,EMILIN1
Core matrisome,ECM Glycoproteins,emilin1b,elastin microfibril interfacer 1b,ZDB-GENE-060818-36,ENSDARG00000026166,Q0VA81:F8W4C7:F1Q9G3,EMILIN1,Emilin1,Yes,EMILIN1
Core matrisome,ECM Glycoproteins,emilin2a,elastin microfibril interfacer 2a,ZDB-GENE-060503-247,ENSDARG00000061196,F1QI05:F1R2C2:F1R1C5,EMILIN2,Emilin2,Yes,EMILIN2
Core matrisome,ECM Glycoproteins,emilin2b,elastin microfibril interfacer 2b,ZDB-GENE-080416-1,ENSDARG00000102178,A0A0R4IW71:A0A0R4ISP2,EMILIN2,Emilin2,Yes,EMILIN2
Core matrisome,ECM Glycoproteins,emilin3a,elastin microfibril interfacer 3a,ZDB-GENE-080612-2,ENSDARG00000078052,F1QKH5:F1R3W5:F1QD66,EMILIN3,Emilin3,Yes,EMILIN3
Core matrisome,ECM Glycoproteins,emilin3b,elastin microfibril interfacer 3b,ZDB-GENE-080612-3,ENSDARG00000076299 ,E7F7F9,EMILIN3,Emilin3,Yes,EMILIN3
Core matrisome,ECM Glycoproteins,eys,eyes shut homolog (Drosophila),ZDB-GENE-130530-959,ENSDARG00000089257, -,EYS,-,Yes,EYS
Core matrisome,ECM Glycoproteins,fbln1,fibulin 1,ZDB-GENE-990415-73,ENSDARG00000103311,O42182:B3DH18,FBLN1,Fbln1,Yes,FBLN1
Core matrisome,ECM Glycoproteins,fbln2,fibulin 2,ZDB-GENE-060711-1,ENSDARG00000015156,F1RCR3:Q5BLE3,FBLN2,Fbln2,Yes,FBLN2
Core matrisome,ECM Glycoproteins,fbln5,fibulin 5,ZDB-GENE-041010-54,ENSDARG00000039273,B8A4X3:Q5XJ74,FBLN5,Fbln5,Yes,FBLN5
Core matrisome,ECM Glycoproteins,fbln7,fibulin 7, -,ENSDARG00000089519,E7FFU9,FBLN7,Fbln7,Yes,FBLN7
Core matrisome,ECM Glycoproteins,fbn1,fibrillin 1,ZDB-GENE-091204-466,ENSDARG00000105333,A0A140LGB0,FBN1,Fbn1,Yes,FBN1
Core matrisome,ECM Glycoproteins,fbn2a,fibrillin 2a,ZDB-GENE-090112-4,ENSDARG00000051896,F8W453:B6D7H3:B6D7H2:F1QNG9:A0A0R4IJD5,FBN2,Fbn2,Yes,FBN2
Core matrisome,ECM Glycoproteins,fbn2b,fibrillin 2b,ZDB-GENE-090112-3,ENSDARG00000098237,A0A0G2KQ62:E7FG71:B6CS38,FBN2,Fbn2,Yes,FBN2
Core matrisome,ECM Glycoproteins,fga,fibrinogen alpha chain,ZDB-GENE-031010-21,ENSDARG00000020741,B8A5L6:Q6DHS2:E9QCD1,FGA,Fga,Yes,FGA
Core matrisome,ECM Glycoproteins,fgb,fibrinogen beta chain,ZDB-GENE-030131-9261,ENSDARG00000008969,Q6NYE1,FGB,Fgb,Yes,FGB
Core matrisome,ECM Glycoproteins,fgg,fibrinogen gamma chain,ZDB-GENE-040426-1998,ENSDARG00000037281,Q7ZVG7:F1RCB0:A0A0R4IJF0:A8E5P0,FGG,Fgg,Yes,FGG
Core matrisome,ECM Glycoproteins,fgl1,fibrinogen-like 1,ZDB-GENE-130815-1,ENSDARG00000105380 ,A0A140LG86,FGL1,Fgl1,Yes,FGL1
Core matrisome,ECM Glycoproteins,fgl2a,fibrinogen-like 2a,ZDB-GENE-030131-9506,ENSDARG00000019861,Q5TYU3,FGL2,Fgl2,Yes,FGL2
Core matrisome,ECM Glycoproteins,fgl2b,fibrinogen-like 2b,ZDB-GENE-120709-53,ENSDARG00000019686,A0A0G2L3W7:K7DY96:A0A0G2KRL5:F1R1H5,FGL2,Fgl2,Yes,FGL2
Core matrisome,ECM Glycoproteins,fn1a,fibronectin 1a,ZDB-GENE-000426-1,ENSDARG00000019815,Q98TS8:Q98TS9:B0S602:F1RBP8:O93406:O93405:B3DGZ1,FN1,Fn1,Yes,FN1
Core matrisome,ECM Glycoproteins,fn1b,fibronectin 1b,ZDB-GENE-030131-6545,ENSDARG00000006526,Q58XP5:F1RB09:A3KNU0:Q6JAN2:Q7T2W7:A2CEW3:Q7T1S2:A0A0R4IDI3:A0A0R4IXY1,FN1,Fn1,Yes,FN1
Core matrisome,ECM Glycoproteins,fndc1,fibronectin type III domain containing 1,ZDB-GENE-041210-332,ENSDARG00000002847,F1R5Z2:A0A0R4IV59:Q5SPC6,FNDC1,Fndc1,Yes,FNDC1
Core matrisome,ECM Glycoproteins,fndc7a,fibronectin type III domain containing 7a,ZDB-GENE-070216-2,ENSDARG00000077096,F1R5M9:F1R823,FNDC7,Fndc7,Yes,FNDC7
Core matrisome,ECM Glycoproteins,fndc7b,fibronectin type III domain containing 7b,ZDB-GENE-100922-114,ENSDARG00000075676,A0A0J9YIY3:E7FFL0:F1QUH9,FNDC7,Fndc7,Yes,FNDC7
Core matrisome,ECM Glycoproteins,fras1,Fraser extracellular matrix complex subunit 1,ZDB-GENE-060526-68,ENSDARG00000054619,A0A0R4IQJ3:B6IDE3:D7PS88:A2BHG4:F1Q633,FRAS1,Fras1,Yes,FRAS1
Core matrisome,ECM Glycoproteins,gas6,growth arrest-specific 6,ZDB-GENE-030131-7773,ENSDARG00000007804,Q7T3H4:A0A0R4IX32:F1QGG9,GAS6,Gas6,Yes,GAS6
Core matrisome,ECM Glycoproteins,gldn,gliomedin,ZDB-GENE-050119-4,ENSDARG00000061576,F2Z4S9:F8W264,GLDN,Gldn,Yes,GLDN
Core matrisome,ECM Glycoproteins,hmcn1,hemicentin 1,ZDB-GENE-041014-322,ENSDARG00000016936,F1QVQ2:F1R7R3:D7PS96:U3JAR0,HMCN1,Hmcn1,Yes,HMCN1
Core matrisome,ECM Glycoproteins,hmcn2,hemicentin 2,ZDB-GENE-030131-9765,ENSDARG00000086060,F1R747:F1Q9T8:E7F3V2:F1R2Y2:M9MMB9:F1QYL6:D7PS98:D7PS97:F1R747:F1Q9T8:E7F3V2:F1R2Y2:M9MMB9:F1QYL6:D7PS98:D7PS97,HMCN2,Hmcn2,Yes,HMCN2
Core matrisome,ECM Glycoproteins,igfals,"insulin-like growth factor binding protein, acid labile subunit",ZDB-GENE-061009-25,ENSDARG00000037836,E9QJJ1:F1R1F2,IGFALS,Igfals,Yes,IGFALS
Core matrisome,ECM Glycoproteins,igfbp1a,insulin-like growth factor binding protein 1a,ZDB-GENE-021231-1,ENSDARG00000099351,Q8JHX6:Q90YJ7:A0A0B5JK49:Q5KSZ2,IGFBP1,Igfbp1,Yes,IGFBP1
Core matrisome,ECM Glycoproteins,igfbp1b,insulin-like growth factor binding protein 1b,ZDB-GENE-081210-3,ENSDARG00000038666,A4IGH0:A0A0R4IY40:A4K8J2,IGFBP1,Igfbp1,Yes,IGFBP1
Core matrisome,ECM Glycoproteins,igfbp2a,insulin-like growth factor binding protein 2a,ZDB-GENE-000125-12,ENSDARG00000052470,Q9PTH3,IGFBP2,Igfbp2,Yes,IGFBP2
Core matrisome,ECM Glycoproteins,igfbp2b,insulin-like growth factor binding protein 2b,ZDB-GENE-090107-3,ENSDARG00000031422,M9MM96:B3F211,IGFBP2,Igfbp2,Yes,IGFBP2
Core matrisome,ECM Glycoproteins,igfbp3,insulin-like growth factor binding protein 3,ZDB-GENE-040412-1,ENSDARG00000099144,Q90YJ6:Q66I28:A0A0R4IPP4,IGFBP3,Igfbp3,Yes,IGFBP3
Core matrisome,ECM Glycoproteins,igfbp5a,insulin-like growth factor binding protein 5a,ZDB-GENE-070620-8,ENSDARG00000039264,A5PLA3,IGFBP5,Igfbp5,Yes,IGFBP5
Core matrisome,ECM Glycoproteins,igfbp5b,insulin-like growth factor binding protein 5b,ZDB-GENE-040319-2,ENSDARG00000025348,Q800E1:B0S525,IGFBP5,Igfbp5,Yes,IGFBP5
Core matrisome,ECM Glycoproteins,igfbp6a,insulin-like growth factor binding protein 6a,ZDB-GENE-090521-1,ENSDARG00000070941,C4MCP0:F6NPV6,IGFBP6,Igfbp6,Yes,IGFBP6
Core matrisome,ECM Glycoproteins,igfbp6b,insulin-like growth factor binding protein 6b,ZDB-GENE-090521-2,ENSDARG00000090833,F6N9E8:C4MCP1,IGFBP6,Igfbp6,Yes,IGFBP6
Core matrisome,ECM Glycoproteins,igfbp7,insulin-like growth factor binding protein 7,ZDB-GENE-040426-2423,ENSDARG00000104138,A0A0R4IZL1:Q6NW92:A0A0R4IU08,IGFBP7,Igfbp7,Yes,IGFBP7
Core matrisome,ECM Glycoproteins,igsf10,"immunoglobulin superfamily, member 10",ZDB-GENE-130530-827,ENSDARG00000077497,E7F5U2,IGSF10,Igsf10,Yes,IGSF10
Core matrisome,ECM Glycoproteins,lama1,"laminin, alpha 1",ZDB-GENE-060118-1,ENSDARG00000056043,A0A0R4ITA0:A0A0R4II20:Q2TJF6:A0A0R4IWB7:Q45H72:A0A0R4ITA0:A0A0R4II20:Q2TJF6:A0A0R4IWB7:Q45H72,LAMA1,Lama1,Yes,LAMA1
Core matrisome,ECM Glycoproteins,lama2,"laminin, alpha 2",ZDB-GENE-060119-1,ENSDARG00000099390,A4ZV96:G8IHT9:G8IHU0:A0A0G2KI51,LAMA2,Lama2,Yes,LAMA2
Core matrisome,ECM Glycoproteins,lama3,"laminin, alpha 3",ZDB-GENE-050208-475,ENSDARG00000071462,Q1LXE7,LAMA3,Lama3,Yes,LAMA3
Core matrisome,ECM Glycoproteins,lama4,"laminin, alpha 4",ZDB-GENE-040724-213,ENSDARG00000020785,Q5SNU9:F1QYU0:B3DK46:Q2TJF5:Q5SNV0,LAMA4,Lama4,Yes,LAMA4
Core matrisome,ECM Glycoproteins,lama5,"laminin, alpha 5",ZDB-GENE-030131-9823,ENSDARG00000058543,Q2Q1W5:F1QKW3:Q5BLH6:D7PSA0,LAMA5,Lama5,Yes,LAMA5
Core matrisome,ECM Glycoproteins,lamb1a,"laminin, beta 1a",ZDB-GENE-021226-1,ENSDARG00000101209,Q8JHV7:Q5BJ05:A0A0R4IB69:A0A0R4IDN1:A0A0R4IY30,LAMB1,Lamb1,Yes,LAMB1
Core matrisome,ECM Glycoproteins,lamb1b,"laminin, beta 1b",ZDB-GENE-041210-197,ENSDARG00000045524,Q1LYI7:F1QEB6:F1REL9,LAMB1,Lamb1,Yes,LAMB1
Core matrisome,ECM Glycoproteins,lamb2,"laminin, beta 2 (laminin S)",ZDB-GENE-081030-4,ENSDARG00000002084,B7ZDA6:C8YMC6,LAMB2,Lamb2,Yes,LAMB2
Core matrisome,ECM Glycoproteins,lamb2l,"laminin, beta 2-like",ZDB-GENE-030131-4205,ENSDARG00000033950,Q58EP9:F1QKX8:F1QD37:C8YMC7,LAMB2,Lamb2,Yes,LAMB2
Core matrisome,ECM Glycoproteins,lamb4,"laminin, beta 4",ZDB-GENE-021226-2,ENSDARG00000039133,F1R2S4:Q8JHV6:X1WE95:F1QBB3,LAMB4,-,Yes,LAMB4
Core matrisome,ECM Glycoproteins,lamc1,"laminin, gamma 1",ZDB-GENE-021226-3,ENSDARG00000036279,Q1LVF0:Q6NUU4,LAMC1,Lamc1,Yes,LAMC1
Core matrisome,ECM Glycoproteins,lamc2,"laminin, gamma 2",ZDB-GENE-110222-3,ENSDARG00000068288,F1QIJ3:A0A0R4IL05:A0A0R4IK75:A0A0R4IVT4,LAMC2,Lamc2,Yes,LAMC2
Core matrisome,ECM Glycoproteins,lamc3,"laminin, gamma 3",ZDB-GENE-060531-121,ENSDARG00000093572,F1QPJ1,LAMC3,Lamc3,Yes,LAMC3
Core matrisome,ECM Glycoproteins,lgi1a,"leucine-rich, glioma inactivated 1a",ZDB-GENE-030131-1731,ENSDARG00000020493,Q6P0D2:Q2HPG2:B0CM14,LGI1,Lgi1,Yes,LGI1
Core matrisome,ECM Glycoproteins,lgi1b,"leucine-rich, glioma inactivated 1b",ZDB-GENE-060217-1,ENSDARG00000058421,Q2HPF9:F1R937:B3DJS9:F1R662,LGI1,Lgi1,Yes,LGI1
Core matrisome,ECM Glycoproteins,lgi2a,"leucine-rich repeat LGI family, member 2a",ZDB-GENE-060217-2,ENSDARG00000089957,F1QP43:Q2HPG1,LGI2,Lgi2,Yes,LGI2
Core matrisome,ECM Glycoproteins,lgi2b,"leucine-rich repeat LGI family, member 2b",ZDB-GENE-060217-3,ENSDARG00000069701,Q2HPF8:F1Q950,LGI2,Lgi2,Yes,LGI2
Core matrisome,ECM Glycoproteins,lgi3,"leucine-rich repeat LGI family, member 3",ZDB-GENE-060217-4,ENSDARG00000041358,Q2HPG0,LGI3,Lgi3,Yes,LGI3
Core matrisome,ECM Glycoproteins,LOC103910377,putative DMBT1-like protein, -, -, -,DMBT1,Dmbt1,Yes,DMBT1
Core matrisome,ECM Glycoproteins,LRG1 (1 to many),leucine-rich alpha-2-glycoprotein 1, -,ENSDARG00000098396,A0A0G2L8H7:A0A0G2L5W6,LRG1,Lrg1,Yes,LRG1
Core matrisome,ECM Glycoproteins,ltbp1,latent transforming growth factor beta binding protein 1,ZDB-GENE-091202-8,ENSDARG00000056922,X1WBQ9:F1QQ56:X1WCC0,LTBP1,Ltbp1,Yes,LTBP1
Core matrisome,ECM Glycoproteins,ltbp3,latent transforming growth factor beta binding protein 3,ZDB-GENE-060526-130,ENSDARG00000035682,F1QFX6,LTBP3,Ltbp3,Yes,LTBP3
Core matrisome,ECM Glycoproteins,ltbp4,latent transforming growth factor beta binding protein 4, -,ENSDARG00000099137,A0A0G2KR67,LTBP4,Ltbp4,Yes,LTBP4
Core matrisome,ECM Glycoproteins,matn1,matrilin 1,ZDB-GENE-050307-3,ENSDARG00000030215,Q5NJK2:A5WWJ4:Q7ZVP3:A5WWJ5:F6P6F2:Q5NJL4:X1WH98,MATN1,Matn1,Yes,MATN1
Core matrisome,ECM Glycoproteins,matn3a,matrilin 3a,ZDB-GENE-040822-21,ENSDARG00000069245,Q5NJK0:Q5NJL3:Q5NJK1:F1QH94:Q68EK6:U3JAH6:F1QH95,MATN3,Matn3,Yes,MATN3
Core matrisome,ECM Glycoproteins,matn3b,matrilin 3b,ZDB-GENE-050221-9,ENSDARG00000069265,Q3B7P3:Q5NIW0:E9QF04:Q5NJJ6:B7ZD91:Q5NJJ7:Q5NJJ8,MATN3,Matn3,Yes,MATN3
Core matrisome,ECM Glycoproteins,matn4,matrilin 4,ZDB-GENE-050208-64,ENSDARG00000015947,Q5NJJ4:B3DKJ1:A0A0B5JF83:Q5NJJ1:Q5NJJ0:Q6PYX2:Q5NJJ3:Q5NJJ5:Q5NJJ2:Q5CZQ6,MATN4,Matn4,Yes,MATN4
Core matrisome,ECM Glycoproteins,mfap1,microfibrillar-associated protein 1,ZDB-GENE-040426-1075,ENSDARG00000018241,Q7ZTX7:F1R9I6,MFAP1,Mfap1a,Yes,MFAP1
Core matrisome,ECM Glycoproteins,mfap2,microfibrillar-associated protein 2,ZDB-GENE-030131-6710,ENSDARG00000059367,Q2VW43:B3DKC3:F1QSF1:Q05AK0,MFAP2,Mfap2,Yes,MFAP2
Core matrisome,ECM Glycoproteins,mfap4,microfibrillar-associated protein 4,ZDB-GENE-040426-2246,ENSDARG00000090783,Q6NYE9,MFAP4,Mfap4,Yes,MFAP4
Core matrisome,ECM Glycoproteins,mfap5,microfibrillar associated protein 5,ZDB-GENE-100922-279,ENSDARG00000090560,E9QCC4,MFAP5,Mfap5,Yes,MFAP5
Core matrisome,ECM Glycoproteins,mfge8a,milk fat globule-EGF factor 8 protein a,ZDB-GENE-050327-9,ENSDARG00000015349,Q1MTB1:Q58EG1:A4QP32:Q1MTB0,MFGE8,Mfge8,Yes,MFGE8
Core matrisome,ECM Glycoproteins,mfge8b,milk fat globule-EGF factor 8 protein b,ZDB-GENE-070209-137,ENSDARG00000045803,A2RRT1,MFGE8,Mfge8,Yes,MFGE8
Core matrisome,ECM Glycoproteins,mgp,matrix Gla protein,ZDB-GENE-060928-1,ENSDARG00000086189,F8W542:A0A0R4IUV1:Q6YND0,MGP,Mgp,Yes,MGP
Core matrisome,ECM Glycoproteins,mmrn2a,multimerin 2a,ZDB-GENE-080424-3,ENSDARG00000076135,F1R6V5,MMRN2,Mmrn2,Yes,MMRN2
Core matrisome,ECM Glycoproteins,mmrn2b,multimerin 2b,ZDB-GENE-080415-2,ENSDARG00000073711,E7FG77,MMRN2,Mmrn2,Yes,MMRN2
Core matrisome,ECM Glycoproteins,mxra5a,matrix-remodelling associated 5a,ZDB-GENE-090312-22,ENSDARG00000074815,F1QEM6:F1QPU8:F1R062,MXRA5,-,Yes,MXRA5
Core matrisome,ECM Glycoproteins,mxra5b,matrix-remodelling associated 5b,ZDB-GENE-081104-119,ENSDARG00000076309,F1QHX4,MXRA5,-,Yes,MXRA5
Core matrisome,ECM Glycoproteins,ndnf,neuron-derived neurotrophic factor,ZDB-GENE-030131-207,ENSDARG00000062936,F1QPX0,NDNF,Ndnf,Yes,NDNF
Core matrisome,ECM Glycoproteins,ndnfl,"neuron-derived neurotrophic factor , like",ZDB-GENE-131127-464,ENSDARG00000076462,E7F019,NDNF,Ndnf,Yes,NDNF
Core matrisome,ECM Glycoproteins,nell2a,neural EGFL like 2a,ZDB-GENE-030131-7972,ENSDARG00000090690,A0A0H2UKK0:A1A5Y0:E7EZN2,NELL2,Nell2,Yes,NELL2
Core matrisome,ECM Glycoproteins,nell2b,neural EGFL like 2b,ZDB-GENE-030131-8026,ENSDARG00000062797,F1QL83:F1QV50,NELL2,Nell2,Yes,NELL2
Core matrisome,ECM Glycoproteins,nid1a,nidogen 1a,ZDB-GENE-050302-58,ENSDARG00000068710,F1R998:F1RAG3,NID1,Nid1,Yes,NID1
Core matrisome,ECM Glycoproteins,nid1b,nidogen 1b,ZDB-GENE-070802-3,ENSDARG00000060675,A0A0G2L836,NID1,Nid1,Yes,NID1
